"locality","divorces_sum","year"
"כוכב יעקב",11,2021
"כפר ורדים",11,2015
"סביון",11,2020
"עומר",11,2015
"עומר",11,2022
"פרדסיה",11,2023
"קיסריה",11,2015
"קיסריה",11,2023
"קריית ארבע",11,2020
"קריית יערים",11,2020
"קריית יערים",11,2023
"קרני שומרון",11,2016
"קרני שומרון",11,2021
"רכסים",11,2015
"רכסים",11,2019
"רכסים",11,2022
"אפרתה",10,2018
"בית אריה",10,2018
"בני עי""ש",10,2015
"בני עי""ש",10,2016
"בני עי""ש",10,2017
"בת חפר",10,2022
"גבע בנימין",10,2017
"הר אדר",10,2016
"הר אדר",10,2023
"חשמונאים",10,2016
"יבנאל",10,2018
"יבנאל",10,2020
"יבנאל",10,2021
"ירוחם",10,2017
"כוכב יאיר צור יגאל",10,2016
"כפר ורדים",10,2019
"לפיד",10,2017
"מיתר",10,2015
"מיתר",10,2018
"מיתר",10,2019
"מיתר",10,2021
"סביון",10,2021
"עומר",10,2016
"צור יצחק",10,2020
"קדומים",10,2017
"קדומים",10,2020
"קצרין",10,2021
"קריית ארבע",10,2018
"קריית ארבע",10,2022
"קריית ארבע",10,2023
"קרני שומרון",10,2019
"שלומי",10,2016
"שער שומרון",10,2023
"שערי תקווה",10,2018
"שערי תקווה",10,2023
"אבן יהודה",15,2024
"אופקים",59,2024
"אור יהודה",70,2024
"אור עקיבא",52,2024
"אורנית",22,2024
"אזור",23,2024
"אילת",107,2024
"אלעד",56,2024
"אלפי מנשה",18,2024
"אפרתה",15,2024
"אריאל",30,2024
"אשדוד",365,2024
"אשקלון",292,2024
"באר יעקב",73,2024
"באר שבע",359,2024
"בית אל",11,2024
"בית דגן",16,2024
"בית שאן",42,2024
"בית שמש",223,2024
"ביתר עילית",79,2024
"בני ברק",168,2024
"בנימינה-גבעת עדה",27,2024
"בת ים",181,2024
"גבע בנימין",10,2024
"גבעת זאב",43,2024
"גבעת שמואל",50,2024
"גבעתיים",75,2024
"גדרה",71,2024
"גן יבנה",59,2024
"גני תקווה",43,2024
"דימונה",61,2024
"הוד השרון",102,2024
"הרצליה",161,2024
"זכרון יעקב",36,2024
"חדרה",157,2024
"חולון",312,2024
"חיפה",333,2024
"חצור הגלילית",17,2024
"חריש",85,2024
"טבריה",87,2024
"טירת כרמל",57,2024
"יבנה",122,2024
"יהוד-מונוסון",59,2024
"יקנעם עילית",33,2024
"ירוחם",16,2024
"ירושלים",692,2024
"כוכב יעקב",12,2024
"כפר חב""ד",10,2024
"כפר יונה",66,2024
"כפר סבא",150,2024
"כרמיאל",39,2024
"לוד",80,2024
"מבשרת ציון",53,2024
"מגדל העמק",46,2024
"מודיעין-מכבים-רעות",159,2024
"מודיעין עילית",51,2024
"מזכרת בתיה",30,2024
"מיתר",17,2024
"מעלה אדומים",64,2024
"מעלות-תרשיחא",22,2024
"נהרייה",109,2024
"נוף הגליל",23,2024
"נס ציונה",84,2024
"נשר",33,2024
"נתיבות",96,2024
"נתניה",377,2024
"עכו",44,2024
"עפולה",110,2024
"ערד",26,2024
"עתלית",19,2024
"פרדס חנה-כרכור",94,2024
"פרדסיה",15,2024
"פתח תקווה",384,2024
"צור הדסה",24,2024
"צור יצחק",16,2024
"צפת",76,2024
"קדימה-צורן",36,2024
"קיסריה",12,2024
"קצרין",10,2024
"קריית אונו",62,2024
"קריית ארבע",13,2024
"קריית אתא",84,2024
"קריית ביאליק",62,2024
"קריית גת",129,2024
"קריית טבעון",26,2024
"קריית ים",57,2024
"קריית מוצקין",69,2024
"קריית מלאכי",55,2024
"קריית עקרון",21,2024
"קריית שמונה",26,2024
"קרני שומרון",16,2024
"ראש העין",159,2024
"ראשון לציון",396,2024
"רחובות",263,2024
"רמלה",132,2024
"רמת גן",277,2024
"רמת השרון",78,2024
"רמת ישי",10,2024
"רעננה",122,2024
"שאר הישובים",1299,2024
"שדרות",51,2024
"שוהם",39,2024
"שלומי",10,2024
"שערי תקווה",15,2024
"תל אביב יפו",661,2024
"תל מונד",26,2024
"תקוע",10,2024
